Date,Price,Open,High,Low,Vol.,Change%,PriceBIST
05/10/2018,68.70,69.30,69.75,68.00,969.22K,-0.87%,100780.57
05/11/2018,69.35,68.65,69.45,68.65,1.17M,0.95%,102380.68
05/14/2018,68.30,69.10,69.30,68.30,658.52K,-1.51%,101852.48
05/15/2018,67.80,67.70,68.15,67.60,1.41M,-0.73%,103370.42
05/16/2018,70.50,68.00,71.35,67.60,1.50M,3.98%,101540.39
05/17/2018,71.60,70.45,71.85,70.00,949.10K,1.56%,102157.88
05/18/2018,71.10,71.60,72.15,70.90,1.04M,-0.70%,101869.35
05/21/2018,71.00,72.10,72.50,70.25,870.83K,-0.14%,102410.30
05/22/2018,71.10,71.50,72.00,70.65,688.74K,0.14%,102257.65
05/23/2018,69.90,71.10,71.45,69.60,1.39M,-1.69%,103327.74
05/24/2018,70.65,70.35,71.30,70.00,1.10M,1.07%,101891.68
05/25/2018,69.64,69.39,70.52,68.41,759.02K,-1.43%,101138.08
05/28/2018,71.26,69.93,71.36,69.93,423.86K,2.33%,103200.08
05/29/2018,70.42,71.31,71.31,70.18,656.12K,-1.18%,106525.25
