Date,Price,Open,High,Low,Vol.,Change%,PriceBIST
08/27/2018,9.770,9.634,9.770,9.440,21.53M,3.31%,90185.99
08/28/2018,10.116,9.727,10.192,9.516,20.87M,3.54%,91284.04
08/29/2018,9.744,10.074,10.091,9.685,14.67M,-3.68%,93866.94
08/31/2018,10.006,9.787,10.006,9.668,18.91M,2.69%,93280.71
09/03/2018,10.192,9.896,10.293,9.863,14.88M,1.86%,92723.40
09/04/2018,9.829,10.226,10.243,9.787,14.08M,-3.56%,93915.55
09/05/2018,9.634,9.829,9.913,9.601,15.93M,-1.98%,93189.27
09/06/2018,9.516,9.719,9.795,9.516,11.89M,-1.22%,92790.99
09/07/2018,9.567,9.584,9.787,9.533,15.69M,0.54%,92763.31
09/10/2018,9.508,9.575,9.651,9.482,9.20M,-0.62%,93274.15
09/11/2018,9.524,9.508,9.592,9.431,10.32M,0.17%,91698.34
09/12/2018,9.491,9.550,9.719,9.491,15.19M,-0.35%,92389.11
09/13/2018,9.533,9.558,9.668,9.313,18.00M,0.44%,92227.37
09/14/2018,9.296,9.601,9.626,9.296,17.92M,-2.49%,94419.15
09/17/2018,9.372,9.288,9.474,9.237,8.56M,0.82%,94759.64
09/18/2018,9.305,9.423,9.533,9.305,12.41M,-0.71%,94347.66
09/19/2018,9.415,9.364,9.491,9.364,10.27M,1.18%,94886.87
09/20/2018,9.381,9.508,9.592,9.313,16.19M,-0.36%,96603.75
09/21/2018,9.634,9.389,9.668,9.389,19.32M,2.70%,96121.10
09/24/2018,9.575,9.660,9.702,9.448,12.78M,-0.61%,97988.16
09/25/2018,9.482,9.634,9.651,9.423,13.26M,-0.97%,99547.44
09/26/2018,9.262,9.508,9.524,9.195,12.86M,-2.32%,99292.47
09/27/2018,9.508,9.271,9.592,9.169,18.19M,2.66%,99148.85
09/28/2018,9.322,9.482,9.499,9.271,17.25M,-1.96%,100298.73
10/01/2018,9.313,9.347,9.550,9.305,10.88M,-0.10%,99956.90
10/02/2018,9.440,9.339,9.457,9.305,12.17M,1.36%,98537.15
10/03/2018,9.279,9.406,9.465,9.246,8.46M,-1.71%,98160.73
10/04/2018,9.355,9.262,9.398,9.017,13.16M,0.82%,97187.87
10/05/2018,9.415,9.313,9.415,9.119,14.41M,0.64%,94496.80
10/08/2018,9.322,9.322,9.372,9.203,13.10M,-0.99%,94883.47
10/09/2018,9.448,9.322,9.465,9.246,12.25M,1.35%,96087.27
10/10/2018,9.094,9.474,9.550,9.077,13.64M,-3.75%,96731.76
10/11/2018,9.001,9.077,9.212,8.916,14.84M,-1.02%,94440.69
10/12/2018,9.254,9.085,9.355,8.891,15.33M,2.81%,94747.53
10/15/2018,9.288,9.262,9.423,9.127,13.41M,0.37%,96657.42
